id,date_time,mc_code,buiding,auto_run,power_on,power_off,meeting,break_field,plan_stop,kpr_percent,yield_field,target_oee,one_day_time_on,available_time,percent_available,percent_performance,percent_oee,factory_utilize,percent_teep,process_group,is_check
37903024,2025-12-09 00:00:00,X-57-10,B,826,610,4,0,0,0,100.0,100.0,85.0,1440,1436,57.36111,100.0,57.36111,100.0,57.36111,ZMOT,False
37905879,2025-12-09 00:00:00.019000,X-57-100,A/2,0,0,1440,0,0,0,100.0,100.0,85.0,1440,0,0.0,100.0,0.0,100.0,0.0,ZMOTD17,True
37905881,2025-12-09 00:00:00.020000,X-57-101,A/2,0,0,1440,0,0,0,100.0,100.0,85.0,1440,0,0.0,100.0,0.0,100.0,0.0,ZMOTD17,True
37903025,2025-12-09 00:00:00,X-57-11,C,700,736,4,0,0,0,100.0,100.0,85.0,1440,1436,48.61111,100.0,48.61111,100.0,48.61111,ZMOT,False
37903026,2025-12-09 00:00:00,X-57-12,A/2,1220,215,5,0,0,0,100.0,100.0,85.0,1440,1435,84.72222,100.0,84.72222,100.0,84.72222,ZMOT,False
37903027,2025-12-09 00:00:00,X-57-13,C,628,808,4,0,0,0,100.0,100.0,85.0,1440,1436,43.61111,100.0,43.61111,100.0,43.61111,ZMOT,False
37903029,2025-12-09 00:00:00,X-57-14,C,639,797,4,0,0,0,100.0,100.0,85.0,1440,1436,44.375,100.0,44.375,100.0,44.375,ZMOT,False
37903245,2025-12-09 00:00:00,X-57-15,B/2,1104,218,118,0,0,0,100.0,100.0,85.0,1440,1322,76.666664,100.0,76.666664,100.0,76.666664,ZMOT,False
37903030,2025-12-09 00:00:00,X-57-19,B,1353,82,5,0,0,0,100.0,100.0,85.0,1440,1435,93.958336,100.0,93.958336,100.0,93.958336,ZMOT,False
37904134,2025-12-09 00:00:00,X-57-20,B,0,1430,10,0,0,0,100.0,100.0,85.0,1440,1430,0.0,100.0,0.0,100.0,0.0,ZMOT,False
37904135,2025-12-09 00:00:00,X-57-22,B,1191,239,10,0,0,0,100.0,100.0,85.0,1440,1430,82.708336,100.0,82.708336,100.0,82.708336,ZMOT,False
37903031,2025-12-09 00:00:00,X-57-24,B,770,666,4,0,0,0,100.0,100.0,85.0,1440,1436,53.47222,100.0,53.47222,100.0,53.47222,ZMOT,False
37903083,2025-12-09 00:00:00.014000,X-57-24,B,732,187,521,0,0,0,100.0,100.0,85.0,1440,919,50.833332,100.0,50.833332,100.0,50.833332,ZMOTU5,True
37903032,2025-12-09 00:00:00,X-57-26,B,867,570,3,0,0,0,100.0,100.0,85.0,1440,1437,60.208332,100.0,60.208332,100.0,60.208332,ZMOT,False
37903034,2025-12-09 00:00:00,X-57-27,B,486,839,115,0,0,0,100.0,100.0,85.0,1440,1325,33.75,100.0,33.75,100.0,33.75,ZMOT,False
37903035,2025-12-09 00:00:00,X-57-30,A/2,1196,239,5,0,0,0,100.0,100.0,85.0,1440,1435,83.05556,100.0,83.05556,100.0,83.05556,ZMOT,False
37903037,2025-12-09 00:00:00,X-57-31,C,712,724,4,0,0,0,100.0,100.0,85.0,1440,1436,49.444443,100.0,49.444443,100.0,49.444443,ZMOT,False
37903257,2025-12-09 00:00:00,X-57-33,B/2,1135,187,118,0,0,0,100.0,100.0,85.0,1440,1322,78.81944,100.0,78.81944,100.0,78.81944,ZMOT,False
37903039,2025-12-09 00:00:00,X-57-34,B,595,730,115,0,0,0,100.0,100.0,85.0,1440,1325,41.319443,100.0,41.319443,100.0,41.319443,ZMOT,False
37903041,2025-12-09 00:00:00,X-57-38,B,618,818,4,0,0,0,100.0,100.0,85.0,1440,1436,42.916668,100.0,42.916668,100.0,42.916668,ZMOT,False
37903085,2025-12-09 00:00:00.015000,X-57-38,B,645,0,795,0,0,0,100.0,100.0,85.0,1440,645,44.791668,100.0,44.791668,100.0,44.791668,ZMOTU5,True
37903043,2025-12-09 00:00:00,X-57-42,A/2,825,612,3,0,0,0,100.0,100.0,85.0,1440,1437,57.291668,100.0,57.291668,100.0,57.291668,ZMOT,False
